,matches,home_corr,draw_corr,away_corr,mean_corr
C Kavanagh,13,0.7010636261483884,0.5176277022149882,0.692223320050016,0.6369715494711309
A Marriner,13,0.719621856087728,0.03175673783522131,0.8017127055366566,0.5176970998198686
R Jones,26,0.7586166883193063,0.04847708422418707,0.6712355582264603,0.49277644358998457
D Coote,21,0.4539631069393464,0.26478802526107503,0.09802065393586412,0.2722572620454285
S Hooper,29,0.46613023212360466,-0.10632162472723436,0.39767916039831036,0.2524959225982269
D England,18,0.48846179459717465,0.08677717914440108,0.0900284560529862,0.22175580993152066
M Salisbury,15,0.10909757190754824,0.23586843568088142,-0.017649036676302087,0.10910565697070919
J Brooks,19,0.0010602902671668008,0.27639137266647584,0.04749457301081083,0.10831541198148449
J Gillett,17,0.4277644506246646,-0.1465167916103413,-0.059401718394091925,0.07394864687341046
G Scott,6,0.4245774037879536,-0.46302449085457326,-0.0020641983220208607,-0.013503761796213501
A Madley,24,0.043201949855563034,-0.17675837065690167,0.020948471492120275,-0.03753598310307279
P Bankes,21,-0.09238005610612532,0.0150989729506044,-0.4237027987455824,-0.16699462730036777
